start_x,start_y,end_x,end_y,most_left,most_right,most_down,most_up,clean,priority,oneway
-75.6552756,45.4278383,-75.6560938,45.4277734,-75.7299279,-75.6515738,45.4068347,45.4308387,False,4,False
-75.7221319,45.4284741,-75.7215679,45.4282134,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,True
-75.6620724,45.410498,-75.6637667,45.4101115,-75.7299279,-75.6515738,45.4068347,45.4308387,False,2,True
-75.6809217,45.4076442,-75.6815329,45.4105106,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6576771,45.4268352,-75.6577992,45.4276512,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.7088307,45.4091223,-75.7077514,45.4073163,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.7197978,45.4246686,-75.7197233,45.4241483,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,False
-75.7268656,45.4240713,-75.7280251,45.4239592,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,False
-75.6654054,45.4087907,-75.667046,45.4079738,-75.7299279,-75.6515738,45.4068347,45.4308387,False,4,True
-75.6958069,45.4112501,-75.6936022,45.4121606,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,False
-75.6839951,45.4113659,-75.6839322,45.4116346,-75.7299279,-75.6515738,45.4068347,45.4308387,False,4,True
-75.6755136,45.4114477,-75.6764575,45.4112659,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6932892,45.4254615,-75.6933556,45.4255584,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,True
-75.6680623,45.4287902,-75.6683864,45.4294363,-75.7299279,-75.6515738,45.4068347,45.4308387,False,4,False
-75.6996456,45.4157815,-75.7017497,45.4149575,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,True
-75.6935196,45.418357,-75.6940522,45.4189708,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,True
-75.7245663,45.4286402,-75.7242314,45.4283471,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.7056156,45.4093174,-75.7045381,45.4075037,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6854344,45.4090549,-75.6849308,45.4084614,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6623441,45.4244733,-75.6585162,45.421249,-75.7299279,-75.6515738,45.4068347,45.4308387,False,2,True
-75.7198037,45.4250108,-75.719896,45.4261151,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,False
-75.6886472,45.4120938,-75.6881439,45.4123117,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,True
-75.6870284,45.4127732,-75.6862443,45.4130915,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,True
-75.690912,45.4299553,-75.6895753,45.4305265,-75.7299279,-75.6515738,45.4068347,45.4308387,False,6,False
-75.6533545,45.4092608,-75.6537095,45.409053,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.7253054,45.4296926,-75.72578,45.4303675,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.7127932,45.4103754,-75.7131954,45.4110476,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6831515,45.4091803,-75.6825576,45.4094075,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,True
-75.6975099,45.4167001,-75.6980406,45.4173166,-75.7299279,-75.6515738,45.4068347,45.4308387,False,2,False
-75.6541392,45.4234485,-75.6541053,45.4231513,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6802806,45.4147893,-75.6796855,45.4158197,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,False
-75.6849308,45.4084614,-75.6854344,45.4090549,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6814248,45.4288942,-75.6829823,45.4282481,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6837038,45.4291166,-75.6839973,45.4294924,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.7230975,45.4249564,-75.7228531,45.4245224,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,True
-75.6813119,45.4176363,-75.682196,45.4164494,-75.7299279,-75.6515738,45.4068347,45.4308387,False,4,False
